,Type,AB,Site,Impurity,∆H (A-rich),∆H (B-rich),(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),Unnamed: 12,Descriptors ->,Unnamed: 14,AB ->,PBE_delta_H,PBE_latt_const,PBE_gap,Eps_elec,Eps_ion,Ion_rad,BP,MP,Density,At_wt,ICSD_vol,Cov_rad,Ion_Energy,At_rad_1,Elec_Aff,At_rad_2,At_vol,Mend_num,Ion_pot_1,Ion_pot_2,Thermal_expn,Sp_heat_cap,Therm_cond,Elec_cond,Heat_fusion,Heat_vap,Electronegativity,At_num,Period,Group,Valence,Ox_state,Ion_rad.1,BP.1,MP.1,Density.1,At_wt.1,ICSD_vol.1,Cov_rad.1,Ion_Energy.1,At_rad_1.1,Elec_Aff.1,At_rad_2.1,At_vol.1,Mend_num.1,Ion_pot_1.1,Ion_pot_2.1,Thermal_expn.1,Sp_heat_cap.1,Therm_cond.1,Elec_cond.1,Heat_fusion.1,Heat_vap.1,Electronegativity.1,At_num.1,Period.1,Group.1,Valence.1,Ox_state.1,Unnamed: 75,CM ->,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,Unnamed: 85,Elem ->,Ion_rad.2,BP.2,MP.2,Density.2,At_wt.2,ICSD_vol.2,Cov_rad.2,Ion_Energy.2,At_rad_1.2,Elec_Aff.2,At_rad_2.2,At_vol.2,Mend_num.2,Ion_pot_1.2,Ion_pot_2.2,Thermal_expn.2,Sp_heat_cap.2,Therm_cond.2,Elec_cond.2,Heat_fusion.2,Heat_vap.2,Electronegativity.2,At_num.2,Period.2,Group.2,Valence.2,Ox_state.2,SOAP1,SOAP2,SOAP3,SOAP4,SOAP5,SOAP6
27,III-V,AlN,M_B,P,2.579036,10.798287,-0.977014,-0.18883,0.606272,4.150606,5.111818,5.746332,,,,,-8.0,4.4,3.28,6.8,3.15,0.54,2740,933.5,2.7,26.98,16.6,1.18,577.6,1.43,45.0,1.62,10.0,73,5.99,18.83,23.1,0.9,237.0,37.7,10.7,290.8,1.61,13,3,13,3,3,1.71,77.34,63.15,1.25,14.01,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82,14.53,29.6,240.0,1.04,0.03,0.0,0.36,2.79,3.04,7,2,15,5,3,,,102.44,102.44,102.44,102.44,332.34,33.78,33.78,33.78,,,0.17,553.0,317.3,1.82,30.97,18.9,1.06,1011.7,1.28,71.7,1.23,17.0,83,10.49,19.73,127.0,0.77,0.23,0.0,0.63,12.4,2.19,15,3,15,5,5,5.59964140195861,1.2116065671137762e-33,5.255132214142804,2.121084884093609e-34,0.0054683998066002,1.3663328177135402e-35
28,IV-IV,GeC,M_B,Nb,10.679317,10.790317,-0.672898,-0.21257,0.82511,1.582389,2.704415,3.274626,,,,,0.75,4.6,1.65,24.29,1.35,0.53,3107,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,658.0,658.0,658.0,658.0,3712.37,75.55,75.55,75.55,,,0.64,5015.0,2742.0,8.57,92.91,18.1,1.34,664.0,1.43,96.0,2.08,10.87,47,6.88,14.32,7.3,0.27,53.7,6.6,26.9,690.1,1.6,41,5,5,5,5,4.674141926140648,3.0493805127352698e-33,4.38657264748161,1.1355494034123325e-33,0.004564591724746743,2.629819293760696e-35
29,II-VI,ZnO,M_i_A,In,5.895155,10.782092,0.23124,1.086175,2.321378,2.969446,3.69241,4.321616,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,733.57,733.57,733.57,733.57,169.41,169.41,169.41,97.81,,,0.8,2350.0,429.78,7.31,114.82,26.1,1.44,558.3,1.66,29.0,2.0,15.7,75,5.79,18.87,32.1,0.23,81.6,3.4,3.26,226.34,1.78,49,5,13,3,3,4.499488643671162,8.6576340126356e-33,4.520540733509188,3.867027748943847e-33,0.006675243795190246,2.9449765219702677e-35
30,II-VI,ZnO,M_A,Re,5.364132,10.746174,0.078172,1.046271,1.744193,2.620436,3.457942,3.770405,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,15816.74,687.58,687.58,687.58,299.42,299.42,299.42,299.42,,,0.53,5870.0,3455.0,21.0,186.21,14.7,1.28,760.0,1.37,14.0,1.97,8.85,54,7.88,12.6,6.2,0.14,47.9,5.8,33.05,707.1,1.9,75,6,7,7,7,4.277398984221761,8.322419567634523e-33,4.557811196506851,4.098554150547135e-33,0.0044509874965887,1.7488508928038923e-36
31,II-VI,CdO,M_i_A,Si,6.566549,10.640975,1.202083,1.202083,1.405908,1.810188,1.893907,1.893907,,,,,-2.04,5.15,0.47,9.63,6.0,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,301.2,301.2,301.2,301.2,43.47,43.47,43.47,25.1,,,0.26,2630.0,1683.0,2.33,28.09,20.0,1.11,786.4,1.32,133.6,1.44,12.1,78,8.15,16.34,2.6,0.7,148.0,0.0,50.2,359.0,1.9,14,3,14,4,4,3.0952276925875357,1.0880975815688512e-33,3.111858505956018,9.647668675381332e-34,0.004122976705741363,2.436819669391544e-35
32,III-V,GaN,M_i_A,Ir,11.901448,10.521448,0.789432,1.421876,2.384658,3.291994,4.14171,4.945303,,,,,-6.13,4.55,1.55,15.0,0.26,0.62,2478,302.92,5.91,69.72,19.6,1.26,578.8,1.41,29.0,1.81,11.8,74,6.0,20.51,19.7,0.37,40.6,1.8,5.59,256.06,1.81,31,4,13,3,3,1.71,77.34,63.15,1.25,14.01,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82,14.53,29.6,240.0,1.04,0.03,0.0,0.36,2.79,3.04,7,2,15,5,3,,,1212.01,1212.01,1212.01,1212.01,237.01,237.01,237.01,136.84,,,0.63,4700.0,2720.0,22.6,192.22,13.8,1.27,880.0,1.36,150.0,1.87,8.54,60,9.1,16.0,6.4,0.13,147.0,21.3,26.36,563.58,2.2,77,6,9,3,4,4.82219088880298,1.9629291344257923e-33,4.843753209440379,1.2210416997131962e-33,0.00724947199794157,4.8767139650178854e-36
33,IV-IV,GeC,M_i_A,Mo,9.410975,10.489143,-0.252688,0.385629,0.991186,2.216497,3.003737,3.333224,,,,,0.75,4.6,1.65,24.29,1.35,0.53,3107,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,674.05,674.05,674.05,674.05,109.45,109.45,109.45,63.19,,,0.59,4912.0,2896.0,10.22,95.94,15.5,1.3,684.9,1.36,96.0,2.01,9.4,50,7.1,16.46,4.8,0.25,138.0,17.3,36.0,590.4,2.16,42,5,6,6,6,4.616038299791702,3.582867842682069e-33,4.637289786948054,8.751578900038024e-34,0.006883345663438312,7.689775847052049e-35
34,IV-IV,SiC,M_A,Rb,10.95131,10.487853,-0.721276,-0.17192,0.783644,1.773602,2.545048,3.184467,,,,,-0.42,4.25,1.27,18.06,2.27,0.26,2630,1683.0,2.33,28.09,20.0,1.11,786.4,1.32,133.6,1.44,12.1,78,8.15,16.34,2.6,0.7,148.0,0.0,50.2,359.0,1.9,14,3,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,2901.71,172.48,172.48,172.48,120.71,120.71,120.71,120.71,,,1.61,961.0,312.63,1.53,85.47,93.0,2.16,403.0,2.48,46.89,2.98,55.9,4,4.18,27.28,91.0,0.36,58.2,47.8,2.34,69.2,0.82,37,5,1,4,1,6.1108565606794425,7.338178346205132e-33,6.511464222825955,1.6004401110897635e-33,0.00635885178010347,6.030520320013422e-36
35,IV-IV,SnC,M_i_B,Pd,4.41086,10.441781,-0.726825,-0.376688,0.049619,1.655756,2.235872,2.639155,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,904.17,904.17,904.17,522.02,125.29,125.29,125.29,125.29,,,0.64,3240.0,1825.0,12.0,106.42,14.7,1.28,805.0,1.38,60.0,1.79,8.9,62,8.34,19.63,11.8,0.24,71.8,10.0,16.74,393.3,2.2,46,5,10,4,2,3.229197037919513,3.767659353575503e-33,3.212002410902907,4.5253422437813335e-33,0.004336450799528546,5.381251627845574e-35
36,IV-IV,SnC,M_i_A,Sn,10.420217,10.420217,0.020709,1.265555,1.738462,2.066277,2.378676,2.559483,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,1134.83,1134.83,1134.83,1134.83,117.93,117.93,117.93,68.09,,,0.71,2876.0,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,3.212002410902918,4.2577601686572266e-33,3.2291970379195027,4.1987152807751914e-33,0.004336450799528541,7.467355615603515e-36
37,IV-IV,SiC,M_B,Sc,10.402317,10.402317,0.327821,1.218182,1.797282,2.37461,2.985581,3.868843,,,,,-0.42,4.25,1.27,18.06,2.27,0.26,2630,1683.0,2.33,28.09,20.0,1.11,786.4,1.32,133.6,1.44,12.1,78,8.15,16.34,2.6,0.7,148.0,0.0,50.2,359.0,1.9,14,3,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,159.86,159.86,159.86,159.86,745.24,41.96,41.96,41.96,,,0.75,3109.0,1814.0,2.99,44.96,24.9,1.44,631.0,1.61,18.1,2.09,15.0,11,6.54,12.8,10.0,0.57,15.8,1.5,16.11,304.8,1.36,21,4,3,3,3,6.511464222825945,5.567189550106955e-33,6.110856560679431,1.8169143340327793e-33,0.006358851780103465,1.1038407002793809e-35
38,III-V,BAs,M_i_A,S,10.397483,10.348062,-0.733924,-0.023791,0.500512,1.055577,1.516928,2.188607,,,,,-0.07,4.81,1.22,25.4,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,0.58,876.0,1090.0,5.78,74.92,21.5,1.2,947.0,1.39,77.0,1.33,13.1,84,9.81,18.63,15.4,0.33,50.0,3.8,27.7,32.4,2.16,33,4,15,5,3,,,38.43,38.43,38.43,38.43,219.65,219.65,219.65,126.81,,,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,3.896974261990049,1.1321434156800539e-33,3.9166620713593647,1.2846678691223465e-33,0.005587927272466853,4.626049674130512e-35
39,III-V,AlP,M_B,Zr,8.127402,10.329383,-0.146977,0.699954,1.313276,1.917092,2.044565,2.953349,,,,,-1.25,5.5,1.61,8.03,3.14,0.54,2740,933.5,2.7,26.98,16.6,1.18,577.6,1.43,45.0,1.62,10.0,73,5.99,18.83,23.1,0.9,237.0,37.7,10.7,290.8,1.61,13,3,13,3,3,0.17,553.0,317.3,1.82,30.97,18.9,1.06,1011.7,1.28,71.7,1.23,17.0,83,10.49,19.73,127.0,0.77,0.23,0.0,0.63,12.4,2.19,15,3,15,5,5,,,218.42,218.42,218.42,218.42,3498.76,154.33,154.33,154.33,,,0.84,4682.0,2128.0,6.51,91.22,23.2,1.45,660.0,1.6,50.0,2.16,14.1,44,6.34,13.13,5.7,0.28,22.7,2.3,21.0,590.5,1.33,40,5,4,4,4,2.6217001769809034,1.5499288438642405e-34,2.4604041699986774,3.1699593396191433e-34,0.0025602540790829126,4.553281902193345e-36
40,III-V,AlN,M_B,Se,3.580879,10.182131,-1.289378,-0.55115,3.464224,4.362855,5.15582,6.325338,,,,,-8.0,4.4,3.28,6.8,3.15,0.54,2740,933.5,2.7,26.98,16.6,1.18,577.6,1.43,45.0,1.62,10.0,73,5.99,18.83,23.1,0.9,237.0,37.7,10.7,290.8,1.61,13,3,13,3,3,1.71,77.34,63.15,1.25,14.01,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82,14.53,29.6,240.0,1.04,0.03,0.0,0.36,2.79,3.04,7,2,15,5,3,,,232.21,232.21,232.21,232.21,2368.75,76.57,76.57,76.57,,,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.75,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,5.59964140195861,1.2116065671137762e-33,5.255132214142804,2.121084884093609e-34,0.0054683998066002,1.3663328177135402e-35
41,IV-IV,SnC,M_B,Nb,10.668663,10.149663,-0.354368,-0.027769,0.614056,1.105087,1.983348,2.564227,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,930.56,930.56,930.56,930.56,3712.37,68.38,68.38,68.38,,,0.64,5015.0,2742.0,8.57,92.91,18.1,1.34,664.0,1.43,96.0,2.08,10.87,47,6.88,14.32,7.3,0.27,53.7,6.6,26.9,690.1,1.6,41,5,5,5,5,3.271517185939868,4.250361255775017e-33,3.0702422028205127,4.392024747255332e-33,0.0031948410018943973,7.512200435051277e-36
42,II-VI,CdS,M_i_A,Ta,6.769986,10.113273,0.722341,1.362955,1.887283,2.580036,2.773797,3.076643,,,,,-1.3,5.94,1.03,6.21,4.0,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,1363.18,1363.18,1363.18,1363.18,393.52,393.52,393.52,227.2,,,0.64,5730.0,3293.0,16.65,180.95,17.6,1.34,761.0,1.43,60.0,2.09,10.9,48,7.89,15.0,6.3,0.14,57.5,8.1,36.0,737.0,1.5,73,6,5,5,5,2.1431867265981754,1.648148280613321e-33,2.152762531962475,2.802754655474282e-33,0.0024289773970836977,5.185498018083832e-35
43,II-VI,ZnS,M_i_A,Y,6.979432,9.988192,1.344544,1.934607,2.623325,3.243525,3.770559,4.509034,,,,,-2.01,5.45,2.01,5.9,3.39,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,496.06,496.06,496.06,496.06,229.12,229.12,229.12,132.28,,,1.02,3611.0,1795.0,4.47,88.91,32.9,1.62,616.0,1.81,0.0,2.27,19.8,12,6.38,12.24,11.3,0.3,17.2,1.8,17.15,393.3,1.22,39,5,3,3,3,2.6262369858463246,1.2975380565924704e-33,2.6400378022784063,1.6480931974907875e-33,0.003272856634979068,1.5835531799237419e-35
44,II-VI,ZnO,M_i_A,Rb,7.095055,9.912034,-0.994497,-0.416899,1.674391,2.633249,3.75537,4.380148,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,553.92,553.92,553.92,553.92,127.92,127.92,127.92,73.86,,,1.61,961.0,312.63,1.53,85.47,93.0,2.16,403.0,2.48,46.89,2.98,55.9,4,4.18,27.28,91.0,0.36,58.2,47.8,2.34,69.2,0.82,37,5,1,4,1,4.499488643671162,8.6576340126356e-33,4.520540733509188,3.867027748943847e-33,0.006675243795190246,2.9449765219702677e-35
45,IV-IV,SiC,M_i_B,Ir,10.322714,9.905256,-0.798557,-0.798557,1.185547,1.185547,3.186927,3.973818,,,,,-0.42,4.25,1.27,18.06,2.27,0.26,2630,1683.0,2.33,28.09,20.0,1.11,786.4,1.32,133.6,1.44,12.1,78,8.15,16.34,2.6,0.7,148.0,0.0,50.2,359.0,1.9,14,3,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,507.63,507.63,507.63,293.08,251.21,251.21,251.21,251.21,,,0.63,4700.0,2720.0,22.6,192.22,13.8,1.27,880.0,1.36,150.0,1.87,8.54,60,9.1,16.0,6.4,0.13,147.0,21.3,26.36,563.58,2.2,77,6,9,3,4,6.480341570442254,5.021335544184568e-33,6.45763358631194,1.5312557308089598e-33,0.010060741048138394,4.273280105399245e-35
46,III-V,BP,M_i_A,Au,9.493187,9.770687,-1.09612,-0.383868,1.286363,1.964091,2.445282,2.874314,,,,,-0.81,4.55,1.26,12.73,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,0.17,553.0,317.3,1.82,30.97,18.9,1.06,1011.7,1.28,71.7,1.23,17.0,83,10.49,19.73,127.0,0.77,0.23,0.0,0.63,12.4,2.19,15,3,15,5,5,,,200.5,200.5,200.5,200.5,520.92,520.92,520.92,300.75,,,0.85,3130.0,1337.58,19.3,196.97,16.9,1.34,890.1,1.44,222.74,1.79,10.2,66,9.22,20.52,14.2,0.13,317.0,48.8,12.36,324.43,2.54,79,6,11,3,3,4.82219088880298,1.9629291344257923e-33,4.843753209440379,1.2210416997131962e-33,0.00724947199794157,4.8767139650178854e-36
47,IV-IV,GeC,M_i_B,Ru,8.537181,9.654933,-0.551838,0.079018,0.653053,1.255775,1.881159,3.479941,,,,,0.75,4.6,1.65,24.29,1.35,0.53,3107,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,611.54,611.54,611.54,353.07,132.4,132.4,132.4,132.4,,,0.62,4425.0,2610.0,12.37,101.07,14.0,1.25,711.0,1.32,110.0,1.89,8.3,56,7.37,16.76,6.4,0.24,117.0,14.9,25.52,567.77,2.2,44,5,8,8,3,4.637289786948044,2.8926713320826415e-33,4.616038299791712,7.778717945316993e-34,0.006883345663438314,6.280020834688352e-35
48,IV-IV,SnC,M_i_B,Ta,9.179994,9.585724,0.675025,1.029305,1.396484,1.677245,2.117803,2.490783,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,1434.88,1434.88,1434.88,828.43,198.82,198.82,198.82,198.82,,,0.64,5730.0,3293.0,16.65,180.95,17.6,1.34,761.0,1.43,60.0,2.09,10.9,48,7.89,15.0,6.3,0.14,57.5,8.1,36.0,737.0,1.5,73,6,5,5,5,3.229197037919513,3.767659353575503e-33,3.212002410902907,4.5253422437813335e-33,0.004336450799528546,5.381251627845574e-35
49,IV-IV,SnC,M_i_B,Si,8.236301,9.557761,0.489159,0.941161,1.519815,1.817788,2.158737,2.474191,,,,,1.51,5.09,0.62,10.71,5.61,0.71,2876,505.12,7.31,118.71,27.0,1.41,708.6,1.62,121.0,1.72,16.3,80,7.34,14.63,22.0,0.23,66.6,8.7,7.2,290.37,1.96,50,5,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,275.18,275.18,275.18,158.88,38.13,38.13,38.13,38.13,,,0.26,2630.0,1683.0,2.33,28.09,20.0,1.11,786.4,1.32,133.6,1.44,12.1,78,8.15,16.34,2.6,0.7,148.0,0.0,50.2,359.0,1.9,14,3,14,4,4,3.229197037919513,3.767659353575503e-33,3.212002410902907,4.5253422437813335e-33,0.004336450799528546,5.381251627845574e-35
50,II-VI,ZnO,M_i_B,Ga,4.564255,9.451193,0.170787,1.081754,2.24067,2.815665,3.698025,4.470591,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,401.92,401.92,401.92,232.05,123.76,123.76,123.76,123.76,,,0.62,2478.0,302.92,5.91,69.72,19.6,1.26,578.8,1.41,29.0,1.81,11.8,74,6.0,20.51,19.7,0.37,40.6,1.8,5.59,256.06,1.81,31,4,13,3,3,4.520540733509183,7.5510650096978e-33,4.499488643671167,4.662466700581148e-33,0.006675243795190253,9.36043792601013e-35
51,III-V,BN,M_A,Pb,12.053058,9.404671,-2.126016,-1.008639,4.112917,5.358312,6.700255,7.979993,,,,,-7.65,3.63,4.45,5.83,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,1.71,77.34,63.15,1.25,14.01,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82,14.53,29.6,240.0,1.04,0.03,0.0,0.36,2.79,3.04,7,2,15,5,3,,,19594.01,159.88,159.88,159.88,365.53,365.53,365.53,365.53,,,1.19,2023.0,600.65,11.35,207.2,30.3,1.47,715.5,1.75,110.0,1.81,18.17,81,7.42,15.03,28.8,0.13,35.3,4.8,4.77,177.9,2.33,82,6,14,4,2,13.37307836155092,2.0006854213676528e-33,14.249773405024065,2.2435175380830056e-33,0.013915794340843916,2.436330209285423e-35
52,III-V,GaN,M_i_neut,Cd,9.391381,9.391381,-1.281624,1.499915,2.440241,3.611791,4.250351,4.957618,,,,,-6.13,4.55,1.55,15.0,0.26,0.62,2478,302.92,5.91,69.72,19.6,1.26,578.8,1.41,29.0,1.81,11.8,74,6.0,20.51,19.7,0.37,40.6,1.8,5.59,256.06,1.81,31,4,13,3,3,1.71,77.34,63.15,1.25,14.01,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82,14.53,29.6,240.0,1.04,0.03,0.0,0.36,2.79,3.04,7,2,15,5,3,,,503.69,789.14,789.14,789.14,178.19,178.19,178.19,113.74,,,0.95,1040.0,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,4.839427670744908,1.633877875440826e-06,4.839427670744889,1.6338778754408201e-06,0.0077584550133880225,5.454249988598455e-35
53,II-VI,CdS,M_B,Na,5.935974,9.34619,0.945588,1.156852,1.898804,2.232453,2.866694,3.139749,,,,,-1.3,5.94,1.03,6.21,4.0,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.29,717.82,392.2,2.07,32.07,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88,10.36,23.33,70.0,0.71,0.27,0.0,1.73,10.0,2.58,16,3,16,6,6,,,205.41,205.41,205.41,205.41,157.87,41.93,41.93,41.93,,,1.02,1156.0,371.0,0.97,22.99,39.7,1.54,495.8,1.9,52.7,2.23,23.7,2,5.14,47.29,71.0,1.23,141.0,20.1,2.6,98.01,0.93,11,3,1,1,1,2.199290822453098,1.9400776856966987e-33,2.063982890993584,2.4598741079723994e-33,0.0021477449438018523,1.6521038792238603e-37
